kota/kabupaten,kecamatan,jenis_fasilitas_olahraga,jumlah
Jakarta Selatan,Cilandak,Atletik,1
Jakarta Selatan,Jagakarsa,Atletik,1
Jakarta Selatan,Kebayoran Baru,Atletik,2
Jakarta Selatan,Kebayoran Lama,Atletik,1
Jakarta Selatan,Mampang Prapatan,Atletik,1
Jakarta Selatan,Pancoran,Atletik,0
Jakarta Selatan,Pasar Minggu,Atletik,2
Jakarta Selatan,Pesanggrahan,Atletik,1
Jakarta Selatan,Setiabudi,Atletik,1
Jakarta Selatan,Tebet,Atletik,1
Jakarta Timur,UP GJRT,Atletik,0
Jakarta Timur,Fasilitas GOR Otista,Atletik,0
Jakarta Timur,Duren Sawit,Atletik,0
Jakarta Timur,Jatinegara,Atletik,0
Jakarta Timur,Pulogadung,Atletik,1
Jakarta Timur,Cakung,Atletik,0
Jakarta Timur,Matraman,Atletik,0
Jakarta Timur,Kramat Jati,Atletik,0
Jakarta Timur,Makasar,Atletik,0
Jakarta Timur,Pasar Rebo,Atletik,0
Jakarta Timur,Ciracas,Atletik,0
Jakarta Timur,Cipayung,Atletik,0
Jakarta Timur,GOR PKP,Atletik,0
Jakarta Pusat,Cempaka Putih,Atletik,0
Jakarta Pusat,Johar Baru,Atletik,0
Jakarta Pusat,Kemayoran,Atletik,0
Jakarta Pusat,Gambir,Atletik,0
Jakarta Pusat,Menteng,Atletik,0
Jakarta Pusat,Senen,Atletik,0
Jakarta Pusat,Tanah Abang,Atletik,0
Jakarta Pusat,Sawah Besar,Atletik,0
Jakarta Barat,UPT GRJB,Atletik,0
Jakarta Barat,Grogol Petambutan,Atletik,0
Jakarta Barat,Palmerah,Atletik,1
Jakarta Barat,Kebon Jeruk,Atletik,1
Jakarta Barat,Kembangan,Atletik,1
Jakarta Barat,Cengkareng,Atletik,1
Jakarta Barat,Kalideres,Atletik,0
Jakarta Barat,Tambora,Atletik,0
Jakarta Barat,Tamansari,Atletik,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,Atletik,0
