bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
5,Aquatic,Invitasi Aquatic 2018 (Loncat Indah dan Renang Indah),Various,Various,emas,30
5,Aquatic,Invitasi Aquatic 2018 (Loncat Indah dan Renang Indah),Various,Various,perak,30
5,Aquatic,Invitasi Aquatic 2018 (Loncat Indah dan Renang Indah),Various,Various,perunggu,30
10,Atletik,Kejuaraan AtletikTerbuka,Various,Atlet AtletikPelatda DKI,emas,40
10,Atletik,Kejuaraan AtletikTerbuka,Various,Atlet AtletikPelatda DKI,perak,40
10,Atletik,Kejuaraan AtletikTerbuka,Various,Atlet AtletikPelatda DKI,perunggu,40
5,Atletik,Kejurnas U18 dan U20 Jakarta 2018,Various,Atlet PPLM DKI,emas,17
5,Atletik,Kejurnas U18 dan U20 Jakarta 2018,Various,Atlet PPLM DKI,perak,17
5,Atletik,Kejurnas U18 dan U20 Jakarta 2018,Various,Atlet PPLM DKI,perunggu,6
10,Atletik,Kejuaraan AtletikOpen 2018,Various,Atlet AtletikPelatda DKI,emas,3
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter ,Dedeh Erawati,emas,1
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,emas,1
3,Atletik,USATF Master Open Indoor Athletics,60 meter ,Dedeh Erawati,emas,1
3,Atletik,USATF Master Open Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,emas,1
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Liza Putri,emas,1
5,Atletik,Kejurnas Antar PPLP/D 2018,5000 meter Jalan Cepat,Yosep,emas,1
5,Atletik,Kejurnas Antar PPLP/D 2018,200 meter ,Moren Febiola,emas,1
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Marlitha Hayun,emas,1
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Atheba Keisya,emas,1
7,Atletik,Asian School Games,100 meter Lari Gawang,Liza Putri,emas,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter Lari Gawang,Ken Ayu Tahay,emas,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter,Yuliana,emas,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,5000 meter,Odekta Naibaho,emas,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Rizky Gusyafa,emas,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Nadia,emas,1
2,Atletik,Test Event Asian Games 2018,100 meter Lari Gawang,Emilia Nova,perak,1
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Jauh,Omega Mutiara,perak,1
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Tinggi Galah,Fendy Irsyad,perak,1
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Beatrix,perak,1
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Anastasya ,perak,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lempar Lembing,Nadira Napisatul,perak,1
8,Atletik,Asian Games  XVII/2018,100 meter Lari Gawang,Emilia Nova,perak,1
8,Atletik,Asian Games  XVII/2018,Beregu 4x100 meter,Bayu Kertanegara,perak,1
10,Atletik,Kejuaraan AtletikOpen 2018,Various,Atlet AtletikPelatda DKI,perak,1
12,Atletik,Kejuaraan AtletikPiala Panglima TNI 2018,Various,Atlet AtletikPPOP,perak,1
2,Atletik,Test Event Asian Games 2018,Lompat Tinggi Galah,Nadia,perunggu,1
2,Atletik,Test Event Asian Games 2018,10 meter Lompat Tinggi,Rizky Gusyafa,perunggu,1
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Nabila,perunggu,1
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Noval,perunggu,1
12,Atletik,Kejuaraan AtletikPiala Panglima TNI 2018,Various,Atlet AtletikPPOP,perunggu,1
2,Atletik,Test Event Asian Games 2018,Lompat Tinggi Galah,Nadia,emas,0
2,Atletik,Test Event Asian Games 2018,100 meter Lari Gawang,Emilia Nova,emas,0
2,Atletik,Test Event Asian Games 2018,10 meter Lompat Tinggi,Rizky Gusyafa,emas,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Jauh,Omega Mutiara,emas,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Tinggi Galah,Fendy Irsyad,emas,0
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Beatrix,emas,0
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Anastasya ,emas,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Nabila,emas,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lempar Lembing,Nadira Napisatul,emas,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Noval,emas,0
8,Atletik,Asian Games  XVII/2018,100 meter Lari Gawang,Emilia Nova,emas,0
8,Atletik,Asian Games  XVII/2018,Beregu 4x100 meter,Bayu Kertanegara,emas,0
12,Atletik,Kejuaraan AtletikPiala Panglima TNI 2018,Various,Atlet AtletikPPOP,emas,0
2,Atletik,Test Event Asian Games 2018,Lompat Tinggi Galah,Nadia,perak,0
2,Atletik,Test Event Asian Games 2018,10 meter Lompat Tinggi,Rizky Gusyafa,perak,0
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter ,Dedeh Erawati,perak,0
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,perak,0
3,Atletik,USATF Master Open Indoor Athletics,60 meter ,Dedeh Erawati,perak,0
3,Atletik,USATF Master Open Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Liza Putri,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,5000 meter Jalan Cepat,Yosep,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,200 meter ,Moren Febiola,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Marlitha Hayun,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Atheba Keisya,perak,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Nabila,perak,0
7,Atletik,Asian School Games,100 meter Lari Gawang,Liza Putri,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter Lari Gawang,Ken Ayu Tahay,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter,Yuliana,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,5000 meter,Odekta Naibaho,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Rizky Gusyafa,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Nadia,perak,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Noval,perak,0
2,Atletik,Test Event Asian Games 2018,100 meter Lari Gawang,Emilia Nova,perunggu,0
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter ,Dedeh Erawati,perunggu,0
3,Atletik,Canadian Open Masters Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,perunggu,0
3,Atletik,USATF Master Open Indoor Athletics,60 meter ,Dedeh Erawati,perunggu,0
3,Atletik,USATF Master Open Indoor Athletics,60 meter Lari Gawang,Dedeh Erawati,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Liza Putri,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,5000 meter Jalan Cepat,Yosep,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,200 meter ,Moren Febiola,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Marlitha Hayun,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lontar Martil,Atheba Keisya,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Jauh,Omega Mutiara,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,Lompat Tinggi Galah,Fendy Irsyad,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,100 meter Lari Gawang,Beatrix,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,400 meter Lari Gawang,Anastasya ,perunggu,0
7,Atletik,Asian School Games,100 meter Lari Gawang,Liza Putri,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter Lari Gawang,Ken Ayu Tahay,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,100 meter,Yuliana,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,5000 meter,Odekta Naibaho,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Rizky Gusyafa,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lompat Tinggi,Nadia,perunggu,0
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lempar Lembing,Nadira Napisatul,perunggu,0
8,Atletik,Asian Games  XVII/2018,100 meter Lari Gawang,Emilia Nova,perunggu,0
8,Atletik,Asian Games  XVII/2018,Beregu 4x100 meter,Bayu Kertanegara,perunggu,0
10,Atletik,Kejuaraan AtletikOpen 2018,Various,Atlet AtletikPelatda DKI,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,emas,
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,perak,
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,perunggu,
11,Atletik,Kejuaraan AtletikBulanan 2018,Various,Various,emas,280
